function	lcp_stx_text	lcp_size	audio_prg_text	audio_size	status	similarity_pct
mq_skip	0x0012a	64	-	-	absent	-
mq_inis	0x0016a	82	-	-	absent	-
mq_setp	0x001bc	104	0x0d6c8	104	variant	70.2
mq_stap	0x00224	70	0x0d864	76	variant	95.9
mq_pshl	0x0026a	76	0x0d8b0	76	identical	100.0
mq_popl	0x002b6	130	0x0d8fc	130	identical	100.0
mq_pars	0x00338	662	0x0d97e	716	variant	93.3
mq_rdur	0x005ce	90	0x0dc4a	140	variant	75.7
mq_qnne	0x00628	392	0x0dcd6	392	identical	100.0
mq_snof	0x007b0	154	0x0de5e	154	identical	100.0
mq_sepc	0x0084a	206	0x0def8	206	identical	100.0
mq_dise	0x00918	1258	0x0dfc6	1354	variant	94.6
mq_expN	0x00e02	98	0x0e510	98	variant	99.0
mq_rmev	0x00e64	94	0x0e572	94	identical	100.0
mq_advs	0x00ec2	378	0x0e7a2	410	variant	92.6
mq_stop	0x0103c	214	0x0e93c	214	variant	98.1
mq_inti	0x01112	80	0x0ea12	80	identical	100.0
mq_extm	0x01162	34	0x0ea62	34	identical	100.0
mq_resp	0x01184	118	0x0ebd4	132	variant	92.8
mq_parh	0x011fa	354	-	-	absent	-
mq_pacm	0x0135c	88	0x07b9e	92	variant	87.8
mq_bust	0x013b4	466	0x08ce8	466	identical	100.0
psg_cpE	0x01586	40	0x03f14	40	identical	100.0
psg_upE	0x015ae	3052	0x0ec58	3052	identical	100.0
