music_studio_file	size	md5	title	lcp_counterpart	lcp_md5	relation
AISLEDAN.SNG	3431	f1605cb52fdb375d771984fed0606fdc	Aisle Dance by Ed Bogas	AISLEDAN.SNG	f1605cb52fdb375d771984fed0606fdc	byte-identical
BALLAD.SNG	2380	1cd250c2aa28875ca8377ee0fb209430	Ballad by Ed Bogas	BALLAD.SNG	1cd250c2aa28875ca8377ee0fb209430	byte-identical
BOOGIE.SNG	2458	9ed039482b1490e6d2eb985ee1412a2c	Boogie by Ed Bogas	BOOGIE.SNG	9ed039482b1490e6d2eb985ee1412a2c	byte-identical
BOSSA.SNG	2763	2b1e0d70c4c27a2cb4daedda8fdd5fa3	Bossa Nova by Ed Bogas	BOSSA.SNG	4e8e9502b769170acc34114c87888ce8	same name, different revision
BRANDEN.SNG	19301	1a4f09513b0a0bedee00136e90d8e69b	Brandenburg Concerto 2 by Bach	-	-	not shipped with LCP
CALYPSO.SNG	2729	0dcbde36ab87bb8d4e379a6003121e0f	Calypso by Ed Bogas	CALYPSO.SNG	0dcbde36ab87bb8d4e379a6003121e0f	byte-identical
CANON.SNG	2961	70acb1250db0567c2f80046f24c56cbc	Pachelbel's Canon in D	CANON.SNG	70acb1250db0567c2f80046f24c56cbc	byte-identical
COUNTRY2.SNG	3178	2ded7eee29e4df5383ac0f0252176df3	Country Too by Ed Bogas	COUNTRY2.SNG	2ded7eee29e4df5383ac0f0252176df3	byte-identical
ECHOROCK.SNG	2196	d22fca17d710126924f1cd63db3def9d	Echo Rock by Ed Bogas	-	-	not shipped with LCP
FIFTIES.SNG	3471	4ec0eca13b707192e548b9e0fb018067	Fifties by Ed Bogas	-	-	not shipped with LCP
FIVE4.SNG	2925	dd65da6e2446978f35fedf1bbec24814	Five Four by Ed Bogas	FIVEFOUR.SNG	dd65da6e2446978f35fedf1bbec24814	byte-identical
FOLK.SNG	2520	52283f62a65b4af62ce1a96d8a896c72	Folk Song by Ed Bogas	FOLKSONG.ORG	73c59cb8d3a75b33ebb769af75432738	same name, different revision
HARMONY.SNG	1734	60bf8b10668664bd089e0f3328fa0cab	Harmony by Ed Bogas	-	-	not shipped with LCP
INTRO.SNG	3139	0bb7e79fb8352db5041844a474b32441	Bebop by Ed Bogas	BEBOP.SNG	0bb7e79fb8352db5041844a474b32441	byte-identical
LEADVOCL.SNG	3875	c1f1ac1326bead5984c701f90a81dd37	Lead Vocal by Ed Bogas	-	-	not shipped with LCP
MYSTERY.SNG	1963	1f8b2c4743dc7c6936a590a50954d7a8	Mystery by Ed Bogas	MYSTERY.SNG	1f8b2c4743dc7c6936a590a50954d7a8	byte-identical
PRELUDE.SNG	2714	ef219f6e59266b0b11c3a1a366d98a0e	Prelude	PRELUDE.ORG	ef219f6e59266b0b11c3a1a366d98a0e	byte-identical
REQUIEM.SNG	4947	d5b091ce02038a57d85e9f4487e6f146	Kyrie eleison-Mozart's REQUIEM	REQUIEM.ORG	d5b091ce02038a57d85e9f4487e6f146	byte-identical
STARSPAN.SNG	2771	cb4360a0af54f8df4852d2642f3e7ba9	Star-Spangled Banner / F.S.Key	STARSPAN.ORG	b1dc316f388e37fff6cc7293e75f1589	same name, different revision
TANGO.SNG	3520	08e811ae6043759da2809ae20371ea42	Tango by Ed Bogas	TANGO.SNG	08e811ae6043759da2809ae20371ea42	byte-identical
WALTZ.SNG	2356	68335b8a35d76497b52aba9ba10d6b62	Waltz by Ed Bogas	-	-	not shipped with LCP
